id;title;price_value;price_currency;price_uah;price_raw;location_raw;image_url;ad_url;created_at
909501989;Продам МТЗ в гарному стані;22000;USD;929068;None;{'city': {'id': 13615, 'name': 'Лобойківка', 'normalized_name': 'loboykovka'}, 'region': {'id': 21, 'name': 'Дніпропетровська область', 'normalized_name': 'dnp'}};"https://ireland.apollo.olxcdn.com:443/v1/files/kp7r85xq98tc1-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodam-mtz-v-garnomu-stan-IDZyb0W.html;2025-12-17T12:18:18.561971+00:00
908182142;Продам Nissan march 1985 года;1100;USD;46453;None;{'city': {'id': 62, 'name': 'Одеса', 'normalized_name': 'odessa'}, 'district': {'id': 87, 'name': 'Хаджибейський'}, 'region': {'id': 9, 'name': 'Одеська область', 'normalized_name': 'od'}};"https://ireland.apollo.olxcdn.com:443/v1/files/p9r5ho4xzdls3-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodam-nissan-march-1985-goda-IDZsDF4.html;2025-12-17T12:18:18.555450+00:00
907306130;ISEKI GEAS-27 Японський Трактор Компанія Вест;12700;USD;536326;None;{'city': {'id': 362, 'name': 'Тернопіль', 'normalized_name': 'ternopol'}, 'region': {'id': 11, 'name': 'Тернопільська область', 'normalized_name': 'ter'}};"https://ireland.apollo.olxcdn.com:443/v1/files/ylsli2rcdazk2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/iseki-geas-27-yaponskiy-traktor-kompanya-vest-IDZoXLQ.html;2025-12-17T12:18:18.547590+00:00
908483911;Продажа Dacia  Logan MCV 2008 г. 7 мест , 1.6 mpi .;3950;USD;166810;None;{'city': {'id': 121, 'name': 'Дніпро', 'normalized_name': 'dnepr'}, 'district': {'id': 117, 'name': 'Індустріальний'}, 'region': {'id': 21, 'name': 'Дніпропетровська область', 'normalized_name': 'dnp'}};"https://ireland.apollo.olxcdn.com:443/v1/files/yyly7gxwz2ig1-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodazha-dacia-logan-mcv-2008-g-7-mest-1-6-mpi-IDZtUaj.html;2025-12-17T12:18:18.540827+00:00
907645489;Мазда 6 gg 2.0 бензин, АКПП, торг.;4200;USD;177367;None;{'city': {'id': 280, 'name': 'Харків', 'normalized_name': 'kharkov'}, 'district': {'id': 75, 'name': 'Салтівський'}, 'region': {'id': 8, 'name': 'Харківська область', 'normalized_name': 'kha'}};"https://ireland.apollo.olxcdn.com:443/v1/files/kj9c270zqrtu3-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/mazda-6-gg-2-0-benzin-akpp-torg-IDZqo3n.html;2025-12-17T12:18:18.534516+00:00
907232807;"Daewoo Lanos D4LM500 , 2002р. Поляк ,1.5л Газ/бензин
Седан Daewoo La";2100;USD;88683;None;{'city': {'id': 84, 'name': 'Бровари', 'normalized_name': 'brovary'}, 'region': {'id': 25, 'name': 'Київська область', 'normalized_name': 'ko'}};"https://ireland.apollo.olxcdn.com:443/v1/files/9czo2xzxvdzt3-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/daewoo-lanos-d4lm500-2002r-polyak-1-5l-gaz-benzinsedan-daewoo-la-IDZoEHd.html;2025-12-17T12:18:18.527779+00:00
908490568;KIA Sportage 1 дизель обмен;120000;UAH;120000;None;{'city': {'id': 82, 'name': 'Лозова', 'normalized_name': 'lozovaya'}, 'region': {'id': 8, 'name': 'Харківська область', 'normalized_name': 'kha'}};"https://ireland.apollo.olxcdn.com:443/v1/files/29tfp28wqpv51-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/kia-sportage-1-dizel-obmen-IDZtWTG.html;2025-12-17T12:18:18.521348+00:00
909020874;Шкода октавія а5 рестайлинг;3300;USD;139360;None;{'city': {'id': 48, 'name': 'Боярка', 'normalized_name': 'boyarka'}, 'region': {'id': 25, 'name': 'Київська область', 'normalized_name': 'ko'}};"https://ireland.apollo.olxcdn.com:443/v1/files/q5upobkyt4z43-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/shkoda-oktavya-a5-restayling-IDZv9R0.html;2025-12-17T12:18:18.515067+00:00
908304474;Dong Feng Kentavr ДТЗ Lovol Донг фенг Xingtai Обмін Тракторів Foton;5350;USD;225932;None;{'city': {'id': 130, 'name': 'Радехів', 'normalized_name': 'radekhov'}, 'region': {'id': 5, 'name': 'Львівська область', 'normalized_name': 'lv'}};"https://ireland.apollo.olxcdn.com:443/v1/files/130upsurzp331-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/dong-feng-kentavr-dtz-lovol-dong-feng-xingtai-obmn-traktorv-foton-IDZt9ua.html;2025-12-17T12:18:18.508709+00:00
908928082;Kia Sportage EX      2013;4500;USD;190036;None;{'city': {'id': 121, 'name': 'Дніпро', 'normalized_name': 'dnepr'}, 'district': {'id': 125, 'name': 'Самарський'}, 'region': {'id': 21, 'name': 'Дніпропетровська область', 'normalized_name': 'dnp'}};"https://ireland.apollo.olxcdn.com:443/v1/files/fqkak6eextwa2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/kia-sportage-ex-2013-IDZwLIm.html;2025-12-17T12:18:18.501272+00:00
